Country,City,Continent,Month,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Dominant_Pollutant
Mongolia,Ulaanbaatar,Asia,2024-07,119,Unhealthy for Sensitive Groups,51.3,91.0,70.5,22.9,1.27,15.8,NO2
Mongolia,Ulaanbaatar,Asia,2024-08,120,Unhealthy for Sensitive Groups,48.7,73.6,65.8,5.1,1.6,10.8,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-09,166,Unhealthy,70.5,112.2,96.1,17.3,1.42,70.8,PM2.5
Mongolia,Ulaanbaatar,Asia,2024-10,144,Unhealthy for Sensitive Groups,64.3,84.0,84.0,3.9,3.24,46.9,O3
Mongolia,Ulaanbaatar,Asia,2024-11,162,Unhealthy,72.4,113.1,64.2,29.0,2.02,53.9,PM10
Mongolia,Ulaanbaatar,Asia,2024-12,181,Unhealthy,79.7,105.4,37.0,43.2,4.07,41.9,PM10
Egypt,Cairo,Africa,2024-01,157,Unhealthy,62.2,91.8,58.2,5.5,3.83,79.0,PM10
Egypt,Cairo,Africa,2024-02,162,Unhealthy,65.4,95.1,80.6,28.6,0.93,73.8,NO2
Egypt,Cairo,Africa,2024-03,118,Unhealthy for Sensitive Groups,52.3,90.6,8.8,2.7,1.26,66.7,O3
Egypt,Cairo,Africa,2024-04,171,Unhealthy,62.4,99.7,44.4,41.5,3.65,68.7,PM2.5
Egypt,Cairo,Africa,2024-05,113,Unhealthy for Sensitive Groups,40.2,69.6,56.2,28.2,2.82,48.9,NO2
Egypt,Cairo,Africa,2024-06,117,Unhealthy for Sensitive Groups,52.0,89.7,21.8,14.2,0.58,76.8,PM10
Egypt,Cairo,Africa,2024-07,137,Unhealthy for Sensitive Groups,56.4,83.4,15.4,23.8,1.91,64.1,PM2.5
Egypt,Cairo,Africa,2024-08,109,Unhealthy for Sensitive Groups,47.4,74.7,39.1,24.1,1.23,19.4,PM2.5
Egypt,Cairo,Africa,2024-09,151,Unhealthy,63.5,89.3,18.9,3.0,1.52,51.3,PM2.5
Egypt,Cairo,Africa,2024-10,163,Unhealthy,64.2,112.5,39.4,22.3,3.26,37.8,PM10
Egypt,Cairo,Africa,2024-11,111,Unhealthy for Sensitive Groups,43.9,78.6,35.6,10.4,1.84,26.8,PM2.5
Egypt,Cairo,Africa,2024-12,174,Unhealthy,63.1,86.1,23.2,8.5,2.91,22.7,PM2.5
Indonesia,Jakarta,Asia,2024-01,136,Unhealthy for Sensitive Groups,56.7,78.6,21.2,3.6,0.8,29.5,PM2.5
Indonesia,Jakarta,Asia,2024-02,153,Unhealthy,54.9,74.7,46.4,9.9,1.59,45.2,PM10
Indonesia,Jakarta,Asia,2024-03,101,Unhealthy for Sensitive Groups,44.2,77.8,8.4,8.2,2.07,62.4,PM2.5
Indonesia,Jakarta,Asia,2024-04,113,Unhealthy for Sensitive Groups,41.9,62.2,35.8,18.2,1.18,42.4,PM10
Indonesia,Jakarta,Asia,2024-05,118,Unhealthy for Sensitive Groups,47.3,74.1,12.9,14.3,1.68,27.0,PM2.5
Indonesia,Jakarta,Asia,2024-06,103,Unhealthy for Sensitive Groups,39.9,52.3,23.4,6.8,0.98,18.4,NO2
Indonesia,Jakarta,Asia,2024-07,119,Unhealthy for Sensitive Groups,51.0,79.0,11.6,16.9,1.84,62.2,PM2.5
Indonesia,Jakarta,Asia,2024-08,109,Unhealthy for Sensitive Groups,39.5,57.0,27.2,18.2,1.65,34.9,O3
Indonesia,Jakarta,Asia,2024-09,92,Moderate,33.1,45.6,17.0,5.0,0.58,30.0,PM2.5
Indonesia,Jakarta,Asia,2024-10,117,Unhealthy for Sensitive Groups,51.4,68.9,39.6,13.2,2.88,17.8,PM2.5
Indonesia,Jakarta,Asia,2024-11,102,Unhealthy for Sensitive Groups,37.4,61.1,57.2,15.0,1.55,29.6,NO2
Indonesia,Jakarta,Asia,2024-12,150,Unhealthy for Sensitive Groups,55.3,80.8,42.6,20.3,1.14,18.0,PM10
India,Mumbai,Asia,2024-01,141,Unhealthy for Sensitive Groups,51.5,79.3,48.4,4.1,1.37,19.4,PM2.5
India,Mumbai,Asia,2024-02,105,Unhealthy for Sensitive Groups,47.1,68.8,52.0,8.0,1.86,63.2,PM10
India,Mumbai,Asia,2024-03,74,Moderate,28.5,50.3,37.5,17.9,0.36,61.2,O3
India,Mumbai,Asia,2024-04,95,Moderate,35.0,46.7,43.5,14.3,2.03,19.8,NO2
India,Mumbai,Asia,2024-05,99,Moderate,36.3,62.0,41.2,13.7,1.02,71.4,PM2.5
India,Mumbai,Asia,2024-06,90,Moderate,38.8,59.0,23.2,11.2,0.8,62.3,PM2.5
India,Mumbai,Asia,2024-07,98,Moderate,38.1,59.9,53.8,15.9,0.46,75.8,PM10
India,Mumbai,Asia,2024-08,92,Moderate,35.3,48.3,44.8,14.8,1.31,72.6,NO2
India,Mumbai,Asia,2024-09,99,Moderate,37.1,62.0,6.8,14.8,1.93,71.4,PM2.5
India,Mumbai,Asia,2024-10,94,Moderate,40.6,55.0,48.5,4.4,1.05,65.8,PM2.5
India,Mumbai,Asia,2024-11,115,Unhealthy for Sensitive Groups,48.5,78.6,49.6,16.5,0.9,34.2,PM2.5
India,Mumbai,Asia,2024-12,117,Unhealthy for Sensitive Groups,51.6,82.1,31.6,14.6,2.78,20.7,PM10
Mexico,Mexico City,North America,2024-01,154,Unhealthy,54.2,94.1,86.7,22.9,2.78,74.6,PM10
Mexico,Mexico City,North America,2024-02,121,Unhealthy for Sensitive Groups,44.2,70.2,46.4,14.0,2.29,75.4,O3
Mexico,Mexico City,North America,2024-03,84,Moderate,37.7,64.8,10.0,19.4,1.85,46.3,PM10
Mexico,Mexico City,North America,2024-04,94,Moderate,36.7,48.7,22.0,19.2,0.2,33.3,PM2.5
Mexico,Mexico City,North America,2024-05,104,Unhealthy for Sensitive Groups,40.0,58.9,47.4,12.7,0.75,41.7,PM2.5
Mexico,Mexico City,North America,2024-06,86,Moderate,31.6,49.0,24.1,19.8,0.89,50.6,PM10
Mexico,Mexico City,North America,2024-07,83,Moderate,29.8,53.6,27.1,12.9,0.29,62.5,PM2.5
Mexico,Mexico City,North America,2024-08,74,Moderate,32.5,45.6,11.5,1.9,0.95,49.5,PM2.5
Mexico,Mexico City,North America,2024-09,92,Moderate,37.0,56.3,24.9,13.5,0.51,22.7,NO2
Mexico,Mexico City,North America,2024-10,112,Unhealthy for Sensitive Groups,49.8,74.0,22.3,18.7,1.28,11.8,PM2.5
Mexico,Mexico City,North America,2024-11,106,Unhealthy for Sensitive Groups,37.4,52.8,18.8,18.4,0.26,17.3,NO2
Mexico,Mexico City,North America,2024-12,137,Unhealthy for Sensitive Groups,50.4,82.0,24.8,5.5,1.04,60.6,NO2
Nigeria,Lagos,Africa,2024-01,120,Unhealthy for Sensitive Groups,50.0,70.1,25.3,27.1,0.28,16.0,PM2.5
Nigeria,Lagos,Africa,2024-02,142,Unhealthy for Sensitive Groups,50.1,69.7,52.6,16.3,3.2,67.2,PM2.5
Nigeria,Lagos,Africa,2024-03,92,Moderate,37.6,53.9,36.2,10.3,1.35,40.5,PM2.5
Nigeria,Lagos,Africa,2024-04,83,Moderate,36.9,62.1,10.5,18.2,1.1,72.6,NO2
Nigeria,Lagos,Africa,2024-05,96,Moderate,36.2,56.9,38.2,7.4,0.5,68.4,O3
Nigeria,Lagos,Africa,2024-06,89,Moderate,35.8,49.6,17.8,1.9,2.05,18.2,PM10
Nigeria,Lagos,Africa,2024-07,94,Moderate,39.0,66.9,15.4,1.8,0.48,73.0,NO2
Nigeria,Lagos,Africa,2024-08,72,Moderate,29.5,47.2,29.9,4.1,1.66,39.3,PM2.5
Nigeria,Lagos,Africa,2024-09,93,Moderate,34.1,56.9,8.9,14.6,0.71,37.3,PM2.5
Nigeria,Lagos,Africa,2024-10,100,Moderate,38.6,64.1,21.3,14.9,1.29,56.5,O3
Nigeria,Lagos,Africa,2024-11,90,Moderate,31.8,45.5,34.0,2.6,1.21,51.8,PM2.5
Nigeria,Lagos,Africa,2024-12,136,Unhealthy for Sensitive Groups,58.1,78.6,12.4,25.4,1.82,58.2,PM2.5
Thailand,Bangkok,Asia,2024-01,122,Unhealthy for Sensitive Groups,52.5,86.5,24.4,18.8,1.26,16.4,O3
Thailand,Bangkok,Asia,2024-02,105,Unhealthy for Sensitive Groups,38.2,67.8,31.0,6.3,1.52,71.1,PM10
Thailand,Bangkok,Asia,2024-03,96,Moderate,40.2,69.3,18.0,12.6,0.68,79.1,O3
Thailand,Bangkok,Asia,2024-04,102,Unhealthy for Sensitive Groups,36.1,59.7,57.0,6.0,1.54,74.1,PM2.5
Thailand,Bangkok,Asia,2024-05,78,Moderate,34.5,61.6,44.4,9.9,1.7,69.1,PM2.5
Thailand,Bangkok,Asia,2024-06,91,Moderate,39.4,51.9,34.4,6.4,0.43,15.4,PM10
Thailand,Bangkok,Asia,2024-07,93,Moderate,33.2,48.4,32.2,18.7,0.87,53.8,NO2
Thailand,Bangkok,Asia,2024-08,72,Moderate,29.6,41.9,4.6,15.8,0.18,71.2,PM2.5
Thailand,Bangkok,Asia,2024-09,84,Moderate,33.4,53.9,44.6,20.7,1.65,39.2,PM2.5
Thailand,Bangkok,Asia,2024-10,105,Unhealthy for Sensitive Groups,44.5,63.2,11.6,10.4,0.9,30.7,PM2.5
Thailand,Bangkok,Asia,2024-11,90,Moderate,35.0,57.4,15.3,21.4,1.81,16.3,PM2.5
Thailand,Bangkok,Asia,2024-12,116,Unhealthy for Sensitive Groups,50.8,90.0,35.6,18.5,0.68,79.4,PM2.5
China,Shanghai,Asia,2024-01,108,Unhealthy for Sensitive Groups,44.4,69.1,19.1,6.2,0.76,23.1,NO2
China,Shanghai,Asia,2024-02,113,Unhealthy for Sensitive Groups,43.5,57.8,65.9,25.2,2.64,79.6,PM2.5
China,Shanghai,Asia,2024-03,99,Moderate,41.5,57.1,49.4,6.8,0.71,47.6,PM10
China,Shanghai,Asia,2024-04,79,Moderate,32.2,43.3,42.1,6.2,0.39,72.2,O3
China,Shanghai,Asia,2024-05,88,Moderate,36.6,57.7,8.6,9.9,0.93,28.2,PM10
China,Shanghai,Asia,2024-06,80,Moderate,32.0,42.9,13.7,14.1,0.3,69.6,PM2.5
China,Shanghai,Asia,2024-07,100,Moderate,43.2,63.7,42.3,14.9,0.81,71.5,NO2
China,Shanghai,Asia,2024-08,72,Moderate,29.9,51.6,37.9,13.1,1.53,58.8,PM10
China,Shanghai,Asia,2024-09,99,Moderate,36.2,63.0,52.4,2.3,2.08,19.0,PM2.5
China,Shanghai,Asia,2024-10,92,Moderate,39.0,53.8,46.0,19.4,1.26,10.4,PM2.5
China,Shanghai,Asia,2024-11,87,Moderate,35.9,51.3,34.7,12.4,1.73,17.5,NO2
China,Shanghai,Asia,2024-12,107,Unhealthy for Sensitive Groups,43.2,77.0,25.5,17.6,2.51,17.2,O3
Saudi Arabia,Riyadh,Asia,2024-01,118,Unhealthy for Sensitive Groups,44.9,74.3,10.3,18.0,1.17,53.5,PM2.5
Saudi Arabia,Riyadh,Asia,2024-02,128,Unhealthy for Sensitive Groups,56.0,100.1,74.6,24.5,0.64,63.1,PM2.5
Saudi Arabia,Riyadh,Asia,2024-03,119,Unhealthy for Sensitive Groups,49.8,75.8,23.9,29.7,1.4,41.6,PM2.5
Saudi Arabia,Riyadh,Asia,2024-04,99,Moderate,42.5,70.0,17.0,3.6,1.75,55.8,PM2.5
Saudi Arabia,Riyadh,Asia,2024-05,108,Unhealthy for Sensitive Groups,42.3,68.5,29.0,8.7,2.66,38.7,NO2
Saudi Arabia,Riyadh,Asia,2024-06,89,Moderate,33.2,46.7,6.0,15.0,0.93,70.5,PM2.5
Saudi Arabia,Riyadh,Asia,2024-07,94,Moderate,40.1,69.1,44.0,15.3,0.47,12.3,O3
Saudi Arabia,Riyadh,Asia,2024-08,95,Moderate,39.1,66.4,29.9,4.2,0.46,58.0,PM2.5
Saudi Arabia,Riyadh,Asia,2024-09,100,Moderate,35.6,56.6,19.8,20.3,0.91,41.9,PM2.5
Saudi Arabia,Riyadh,Asia,2024-10,83,Moderate,29.7,44.4,26.1,13.0,0.72,58.6,NO2
Saudi Arabia,Riyadh,Asia,2024-11,88,Moderate,32.9,59.0,11.3,11.7,1.43,59.2,PM10
Saudi Arabia,Riyadh,Asia,2024-12,124,Unhealthy for Sensitive Groups,43.5,63.7,41.5,4.6,1.25,12.3,PM2.5
United States,Los Angeles,North America,2024-01,71,Moderate,28.9,47.5,34.8,4.5,0.42,17.3,PM10
United States,Los Angeles,North America,2024-02,79,Moderate,33.2,43.7,44.6,2.3,1.14,59.6,NO2
United States,Los Angeles,North America,2024-03,72,Moderate,27.6,47.1,6.8,16.2,1.05,67.2,PM2.5
United States,Los Angeles,North America,2024-04,70,Moderate,29.0,45.3,31.7,2.5,0.24,27.3,PM2.5
United States,Los Angeles,North America,2024-05,63,Moderate,28.2,41.4,9.5,12.7,1.08,44.9,PM10
United States,Los Angeles,North America,2024-06,61,Moderate,25.7,36.3,36.5,14.9,1.03,24.0,PM10
United States,Los Angeles,North America,2024-07,57,Moderate,24.9,41.4,26.1,6.6,0.57,36.0,O3
United States,Los Angeles,North America,2024-08,47,Good,16.6,28.8,17.3,5.6,0.88,44.1,NO2
United States,Los Angeles,North America,2024-09,64,Moderate,24.2,38.6,35.3,4.2,1.05,54.2,PM10
United States,Los Angeles,North America,2024-10,72,Moderate,26.1,43.3,39.6,4.2,0.54,78.0,PM2.5
United States,Los Angeles,North America,2024-11,65,Moderate,24.4,42.3,19.2,8.9,0.67,51.5,PM2.5
United States,Los Angeles,North America,2024-12,93,Moderate,36.2,64.6,17.9,15.8,0.88,64.1,PM2.5
Turkey,Istanbul,Asia,2024-01,87,Moderate,32.5,43.4,12.5,12.0,0.85,68.0,PM2.5
Turkey,Istanbul,Asia,2024-02,93,Moderate,34.9,56.1,40.8,5.2,0.54,12.6,PM10
Turkey,Istanbul,Asia,2024-03,67,Moderate,29.1,49.6,24.9,14.7,0.45,17.8,PM2.5
Turkey,Istanbul,Asia,2024-04,87,Moderate,30.9,48.4,49.2,2.2,0.42,41.7,O3
Turkey,Istanbul,Asia,2024-05,71,Moderate,25.1,34.5,42.1,17.2,0.15,76.6,PM10
Turkey,Istanbul,Asia,2024-06,48,Good,21.0,32.1,16.0,6.3,0.83,19.8,PM2.5
Turkey,Istanbul,Asia,2024-07,71,Moderate,26.3,43.0,41.4,2.7,1.24,41.1,NO2
Turkey,Istanbul,Asia,2024-08,55,Moderate,20.2,33.3,28.1,13.0,0.97,44.8,PM10
Turkey,Istanbul,Asia,2024-09,72,Moderate,25.4,44.8,30.9,12.6,0.5,56.1,PM2.5
Turkey,Istanbul,Asia,2024-10,79,Moderate,32.8,44.4,32.5,19.7,0.25,78.4,PM2.5
Turkey,Istanbul,Asia,2024-11,73,Moderate,29.7,49.6,38.9,8.1,0.7,56.7,NO2
Turkey,Istanbul,Asia,2024-12,92,Moderate,39.2,66.6,26.6,19.1,0.44,48.1,PM2.5
Brazil,Sao Paulo,South America,2024-01,65,Moderate,25.3,41.7,17.1,7.9,0.49,36.1,PM2.5
Brazil,Sao Paulo,South America,2024-02,62,Moderate,22.2,35.6,25.9,10.0,0.78,36.6,NO2
Brazil,Sao Paulo,South America,2024-03,42,Good,14.8,21.8,10.9,4.6,0.64,47.4,PM10
Brazil,Sao Paulo,South America,2024-04,76,Moderate,32.4,55.3,33.8,18.2,0.18,23.7,PM2.5
Brazil,Sao Paulo,South America,2024-05,65,Moderate,24.3,42.9,5.4,15.3,0.66,17.1,PM2.5
Brazil,Sao Paulo,South America,2024-06,56,Moderate,21.0,30.3,12.3,11.4,0.81,31.8,PM10
Brazil,Sao Paulo,South America,2024-07,48,Good,18.8,25.6,7.2,8.4,0.3,46.8,PM10
Brazil,Sao Paulo,South America,2024-08,60,Moderate,21.6,34.2,11.5,14.5,0.79,66.4,PM10
Brazil,Sao Paulo,South America,2024-09,61,Moderate,27.2,43.5,30.5,13.6,0.44,24.8,PM10
Brazil,Sao Paulo,South America,2024-10,57,Moderate,22.3,38.4,31.1,5.7,0.42,64.6,PM2.5
Brazil,Sao Paulo,South America,2024-11,58,Moderate,24.2,32.6,22.8,7.1,0.9,21.8,PM10
Brazil,Sao Paulo,South America,2024-12,86,Moderate,37.5,52.8,8.8,1.9,1.44,52.5,PM2.5
Russia,Moscow,Europe,2024-01,64,Moderate,26.2,40.6,38.0,3.1,1.15,38.3,PM2.5
Russia,Moscow,Europe,2024-02,57,Moderate,24.0,39.5,33.9,2.7,0.25,60.7,PM10
Russia,Moscow,Europe,2024-03,52,Moderate,18.6,32.5,8.1,4.8,0.38,34.8,PM2.5
Russia,Moscow,Europe,2024-04,54,Moderate,21.7,28.9,26.5,3.8,0.78,71.6,PM10
Russia,Moscow,Europe,2024-05,42,Good,16.1,26.3,25.1,7.2,0.62,61.1,PM2.5
Russia,Moscow,Europe,2024-06,52,Moderate,18.5,29.3,30.0,3.0,0.93,24.1,PM2.5
Russia,Moscow,Europe,2024-07,49,Good,20.9,30.8,20.4,9.9,1.14,26.4,PM2.5
Russia,Moscow,Europe,2024-08,44,Good,16.1,28.9,24.6,6.3,0.94,46.5,PM10
Russia,Moscow,Europe,2024-09,56,Moderate,20.3,34.8,26.9,10.2,0.16,31.2,PM2.5
Russia,Moscow,Europe,2024-10,53,Moderate,20.5,27.5,30.0,7.7,0.48,37.8,PM2.5
Russia,Moscow,Europe,2024-11,58,Moderate,25.6,39.6,34.5,12.5,0.39,75.1,PM2.5
Russia,Moscow,Europe,2024-12,89,Moderate,38.4,57.2,47.4,19.5,1.83,65.3,PM2.5
South Korea,Seoul,Asia,2024-01,92,Moderate,33.8,55.7,22.1,22.5,1.54,67.6,PM2.5
South Korea,Seoul,Asia,2024-02,85,Moderate,37.1,65.3,27.0,13.4,1.67,22.2,PM2.5
South Korea,Seoul,Asia,2024-03,65,Moderate,25.1,33.5,4.2,3.1,1.57,48.5,O3
South Korea,Seoul,Asia,2024-04,72,Moderate,28.3,41.2,23.6,8.6,0.32,54.9,PM2.5
South Korea,Seoul,Asia,2024-05,89,Moderate,32.5,43.2,42.7,11.0,0.3,79.6,PM2.5
South Korea,Seoul,Asia,2024-06,77,Moderate,32.3,57.9,14.0,3.8,0.37,31.2,PM2.5
South Korea,Seoul,Asia,2024-07,64,Moderate,25.7,46.2,31.9,10.3,0.58,53.7,PM2.5
South Korea,Seoul,Asia,2024-08,69,Moderate,27.1,37.0,37.1,8.4,0.45,35.7,PM2.5
South Korea,Seoul,Asia,2024-09,80,Moderate,34.2,44.6,22.3,10.3,0.2,28.2,NO2
South Korea,Seoul,Asia,2024-10,82,Moderate,29.8,46.7,13.8,1.6,0.62,78.3,NO2
South Korea,Seoul,Asia,2024-11,75,Moderate,27.1,42.7,22.5,16.0,0.32,44.2,PM2.5
South Korea,Seoul,Asia,2024-12,100,Moderate,38.2,63.7,31.2,10.4,1.11,42.2,NO2
Italy,Rome,Europe,2024-01,63,Moderate,26.4,40.1,12.0,13.4,0.18,73.1,PM2.5
Italy,Rome,Europe,2024-02,77,Moderate,31.9,52.0,41.8,12.7,1.24,14.7,PM2.5
Italy,Rome,Europe,2024-03,58,Moderate,23.3,38.2,4.2,2.1,1.07,15.0,PM2.5
Italy,Rome,Europe,2024-04,51,Moderate,17.9,31.8,23.2,5.1,0.45,34.5,NO2
Italy,Rome,Europe,2024-05,48,Good,17.6,23.7,19.8,9.4,0.39,11.5,PM2.5
Italy,Rome,Europe,2024-06,53,Moderate,23.7,34.3,25.1,8.6,0.57,24.4,PM2.5
Italy,Rome,Europe,2024-07,57,Moderate,23.6,36.9,4.2,13.8,1.16,30.5,O3
Italy,Rome,Europe,2024-08,53,Moderate,21.7,34.5,24.5,10.9,0.91,19.0,PM2.5
Italy,Rome,Europe,2024-09,48,Good,18.9,30.4,27.3,3.5,0.23,23.8,NO2
Italy,Rome,Europe,2024-10,42,Good,17.4,25.1,20.9,9.1,0.9,74.3,PM2.5
Italy,Rome,Europe,2024-11,53,Moderate,23.0,38.3,25.3,9.0,0.32,48.2,O3
Italy,Rome,Europe,2024-12,82,Moderate,36.4,48.1,11.5,3.9,1.53,67.2,PM2.5
Spain,Madrid,Europe,2024-01,65,Moderate,27.5,43.2,24.4,8.8,0.57,49.6,PM10
Spain,Madrid,Europe,2024-02,56,Moderate,24.5,39.6,26.2,3.0,0.71,10.7,PM2.5
Spain,Madrid,Europe,2024-03,44,Good,18.9,26.5,15.6,8.3,0.71,23.2,PM2.5
Spain,Madrid,Europe,2024-04,40,Good,17.1,27.0,2.1,7.8,0.11,62.2,PM2.5
Spain,Madrid,Europe,2024-05,44,Good,16.8,23.1,9.6,9.7,1.1,35.8,PM2.5
Spain,Madrid,Europe,2024-06,43,Good,18.2,31.7,16.2,4.6,0.49,58.7,PM2.5
Spain,Madrid,Europe,2024-07,33,Good,14.2,19.1,12.3,4.3,0.55,14.5,PM10
Spain,Madrid,Europe,2024-08,47,Good,19.1,30.2,18.0,8.2,0.96,28.9,NO2
Spain,Madrid,Europe,2024-09,41,Good,14.6,21.4,19.7,7.5,0.83,46.2,PM2.5
Spain,Madrid,Europe,2024-10,45,Good,16.4,24.0,13.0,1.7,0.32,51.9,PM10
